,id_,product_names,sale_price,market_price,manufacturing_coast,manufacturing_unit
0,278,AquaKraft Plastic Bathroom Fittings,472,509,561,99
1,262,Rainbow Rainwater Gutter Pipe,564,698,624,99
2,276,UPVC Pressure Pipes And Fittings,459,491,493,99
3,257,Aqua Gold UPVC Pipes And Fittings,664,656,492,99
4,263,Column Pipes For Submersible Pumps - PVC,539,496,566,99
5,283,Safegard Plastic Septic Tanks,608,455,461,99
6,251,SWR Pipe And Drainage System,659,697,572,99
7,285,FlameGuardÂ® C-PVC Fire Sprinkler System,507,633,465,99
8,277,Cableshield - Electrical Conduit Pipe,593,604,452,99
9,246,Siltank	Overhead Water Tanks & Loft Tanks,637,660,441,99
10,263,WeatherShield	Premium Overhead Water Storage Tanks,474,548,445,99
11,266,Safegard Packaged Sewage Treatment Plants,457,655,485,99
12,264,Raingain - Rainwater Harvesting Filter,632,461,532,99
13,266,Streamline	SWR Drainage System For Affordable Housing,500,662,611,99
14,262,Aquatic Premium Bath Fittings,456,467,474,99
15,289,PE Column Pipes For Submersible Pumps,693,596,517,99
16,275,Cableguard DWC HDPE Cable Duct Pipes,691,562,439,99
17,279,Polyethylene Piping System - Polyethylene Pipes For Water Supply,505,625,514,99
18,248,UPVC High Pressure Pipes - ASTM Threaded Pipes,634,494,514,99
19,281,Cleanage - Readymade Toilet Blocks,668,604,432,99
20,261,Casing Pipes,620,456,641,99
21,269,Varsha Sprinkler Pipe Irrigation System,629,534,574,99
22,244,PVC Garden Pipe And Braided Hose,451,536,527,99
23,240,Lifeline CPVC Hot & Cold Water - CTS Series,482,535,593,99
24,286,Skyrise	Hi-Tech Low Noise SWR Drainage System,540,660,631,99
25,262,Amrutam Underground Water Storage Tanks,594,634,502,95
26,245,Casing Pipes As Per ASTM D 1785,532,558,445,95
27,265,Ecosil Overhead Water Tanks,466,690,603,95
28,272,Nu-Drain Readymade Inspection Chambers,597,525,476,95
29,244,LifelinePlus C-PVC Hot & Cold Water System - IPS Series,647,595,544,95
30,250,Cleanage Readymade Urinals - Public Men's Urinals,532,468,494,96
31,254,CopperSheild Water Tanks,459,689,409,96
32,271,Indo Green PPR Pipes - Hot & Cold Water System,617,662,622,96
33,250,Supreme PP-R Pipes & Fittings,462,459,479,96
34,286,SDR Casing Pipes,696,609,534,96
35,291,Ultra Manholes Chambers,688,464,546,97
36,240,Silbond  Solvent Cements,474,655,551,97
37,276,Ribbed Screen Casing Pipes,574,672,451,97
38,251,"Nu-Drain Solid Wall Pipes, Fittings & Accessories",487,501,594,97
39,261,Silaid Rubber Lubricant,553,632,465,98
40,265,Screen Pipes / Slotted Pipes,684,598,493,98
41,295,PVC Drain Pipe - Hi-Tech Structured Wall Plastic Pipes,556,525,452,98
42,271,Bluesil Thread Sealant,528,520,578,98
43,252,Accessories For Borewell Application,595,560,600,98
44,280,Foam Core	Structured Wall Pipes,567,654,508,98
45,256,Ultra Plus DWC Structured Wall Pipes & Fittings - DWC Pipes,605,478,514,98
46,257,E-lite Advance Plumbing System,462,490,503,98
47,285,High-density Polyethylene (HDPE) Pipes For Sewerage Systems,465,460,566,98
48,255,ECOLINE Pipes For Reclaimed Water,581,462,640,98
49,266,UltraGard Composite Manhole Cover & Gratings,643,535,609,98
50,277,Supreme PE Electro-fusion Fittings,582,647,587,98
51,281,Compression Fittings,614,450,587,98
